algo,seed,opponent,win_rate,avg_reward,avg_len,fps
ppo,42,random,0.0,-3.5950000000000006,20.0,1525.6730262081007
ppo,42,rule_based,0.0,-2.6949999999999994,20.0,1540.4094974016195
ppo,123,random,0.0,-4.595000000000001,20.0,1425.8580364427523
ppo,123,rule_based,0.0,-4.720000000000001,20.0,1720.5636344990257
ppo,456,random,0.0,-5.0200000000000005,20.0,1651.8210459987397
ppo,456,rule_based,0.0,-2.92375,20.0,1425.4945876595239
ppo_dualclip,42,random,0.0,-5.0200000000000005,20.0,1775.554661868981
ppo_dualclip,42,rule_based,0.0,-4.2700000000000005,20.0,1557.9755957134632
ppo_dualclip,123,random,0.0,-4.27375,20.0,1646.245388178036
ppo_dualclip,123,rule_based,0.0,-5.0200000000000005,20.0,1575.7397249981216
ppo_dualclip,456,random,0.0,-4.045,20.0,1373.5828789441798
ppo_dualclip,456,rule_based,0.0,-4.87,20.0,1691.7973539851564
